Product Name,Category,Price,Discount,Rating,In Stock,Brand,Description
iPhone 13,Electronics,1099.00,10%,4.9,Yes,Apple,"The latest iPhone with advanced features and A15 Bionic chip."
Samsung Galaxy S21,Electronics,899.99,15%,4.8,Yes,Samsung,"Powerful Android smartphone with stunning display and 5G support."
Sony Bravia 55-inch 4K TV,Electronics,799.00,12%,4.7,Yes,Sony,"Immerse yourself in stunning 4K visuals and cinematic sound."
MacBook Air,Electronics,1199.00,8%,4.7,Yes,Apple,"Lightweight and powerful laptop for work and play."
Dell Inspiron 15 Laptop,Electronics,679.99,20%,4.5,Yes,Dell,"Reliable and budget-friendly laptop for everyday computing."
Adidas UltraBoost 21,Apparel,159.95,10%,4.9,Yes,Adidas,"Premium running shoes with boost cushioning for ultimate comfort."
Nike Air Max 270,Apparel,129.99,15%,4.8,Yes,Nike,"Stylish and comfortable sneakers for casual wear."
Levi's 501 Original Fit Jeans,Apparel,49.99,25%,4.7,Yes,Levi's,"Timeless classic jeans with a straight-leg design."
Amazon Echo Dot (4th Gen),Electronics,34.99,5%,4.6,Yes,Amazon,"Smart speaker with Alexa voice assistant for home automation."
Fitbit Charge 4 Fitness Tracker,Electronics,139.95,10%,4.7,Yes,Fitbit,"Monitor your fitness activities and heart rate in real-time."
Sony WH-1000XM4 Noise-Canceling Headphones,Electronics,349.99,8%,4.8,Yes,Sony,"Premium headphones with industry-leading noise cancellation."
Instant Pot Duo 7-in-1 Electric Pressure Cooker,Home & Kitchen,79.99,15%,4.9,Yes,Instant Pot,"Versatile kitchen appliance for pressure cooking, slow cooking, and more."
iRobot Roomba 675 Robot Vacuum,Home & Kitchen,249.00,12%,4.7,Yes,iRobot,"Efficient robot vacuum with intelligent mapping and Wi-Fi connectivity."
Cuisinart 14-Cup Food Processor,Home & Kitchen,199.95,10%,4.6,Yes,Cuisinart,"Powerful food processor for slicing, chopping, and blending."
Fitbit Inspire 2 Fitness Tracker,Electronics,69.95,20%,4.5,Yes,Fitbit,"Slim and lightweight fitness tracker with up to 10 days of battery life."
Samsung 75-inch QLED 4K TV,Electronics,1499.99,10%,4.8,Yes,Samsung,"Immersive entertainment experience with Quantum Dot technology."
Nintendo Switch Lite Gaming Console,Electronics,199.99,5%,4.7,Yes,Nintendo,"Portable gaming console for on-the-go gaming fun."
Bose QuietComfort 35 II Noise-Canceling Headphones,Electronics,299.00,8%,4.9,Yes,Bose,"High-quality headphones for immersive audio and noise cancellation."
KitchenAid Artisan Stand Mixer,Home & Kitchen,379.00,12%,4.8,Yes,KitchenAid,"Iconic stand mixer for baking and culinary adventures."
HP OfficeJet Pro 9015 All-in-One Printer,Electronics,229.89,10%,4.6,Yes,HP,"Versatile printer for home or office with scanning, copying, and faxing capabilities."
